,Phrase
679,"And in America, where there are still these spontaneous associations, "
680,Some public interests concern 
681,or some other sort of group. 
682,Then these people will get together and be very good 
683,at being able to act publicly in these matters since they oversee them. 
684,"That is, what you said only applies to the greatest decisions at the highest level. "
685,"And there, believe me, the difference between the statesman "
686,"You don't have to believe me, I only said it rhetorically. "
687,"Ms. Arendt, Karl Jaspers is your former teacher who "
688,you've been particularly close with as a constant dialogue partner among friends. 
689,What do you think is the greatest influence Jaspers has had on you? 
690,
691,an unconditionality of speaking 
692,that I've never known in another person. 
693,
694,He also has a concept of freedom linked to reason 
695,which was completely foreign to me when I came to Heidelberg. 
696,
697,"I saw this reason in action, so to speak. "
698,"If I may say so, I grew up without a father, and I was educated by it. "
699,"Or if you like...I don't want to make him responsible for me for God's sake, "
700,"Or if you like...I don't want to make him responsible for me for God's sake, "
701,then this was Karl Jaspers. 
702,"And this dialogue, of course, is very different today. "
703,That was actually my most powerful post-war experience. 
704,In a speech on Jaspers you said: 
705,"""Humanity is never acquired in solitude"" "
706,"“and never by giving one's work over to the public."" "
707,"""Only by throwing one's life & person into the venture into the public sphere"" "
708,means what to Hannah Arendt? 
709,One exposes oneself 
710,"to the light of the public, as a person. "
711,Although I am of the opinion that 
712,"one must not self-consciously appear and act in public, "
713,still I know that in every action the person 
714,is expressed in a way like no other 
715,— like no other activity. 
716,So that's one venture. The second is: 
717,"we weave our thread in a network of relationships, "
718,We've all been taught to say: 
719,This is true of all action. 
720,"Quite simply and concretely true, "
721,this venture is only possible 
